Player,Yds_x,Years,Tm,Cmp,Att,TD,Rate,Int,Sk,Yds_y,Pick6,Y/G,Cmp%,Int%,4QC,GWD
Nick Foles,14227.0,2012-2022,6TM,1302.0,2087.0,82.0,86.2,,127.0,875.0,,200.4,62.4%,2.3%,11.0,13.0
Bill Nelsen,14165.0,1963-1972,2TM,963.0,1905.0,98.0,70.2,101.0,146.0,1314.0,10.0,157.4,50.6%,5.3%,8.0,8.0
Josh Freeman,13873.0,2009-2015,3TM,1179.0,2048.0,81.0,77.6,68.0,112.0,690.0,,223.8,57.6%,3.3%,9.0,10.0
Gary Danielson,13764.0,1976-1988,2TM,1105.0,1932.0,81.0,76.6,78.0,183.0,1446.0,4.0,136.3,57.2%,4.0%,5.0,11.0
Daniel Jones,13650.0,2019-2024,nyg,1335.0,2078.0,68.0,85.3,,191.0,1198.0,,210.0,64.2%,2.1%,7.0,9.0
Eddie LeBaron,13399.0,1952-1963,2TM,898.0,1796.0,104.0,61.4,141.0,,1404.0,10.0,100.0,50.0%,7.9%,13.0,13.0
Chad Henne,13290.0,2008-2022,3TM,1200.0,2015.0,60.0,76.1,63.0,151.0,942.0,,170.4,59.6%,3.1%,4.0,5.0
Sam Darnold,13175.0,2018-2024,4TM,1169.0,1948.0,74.0,80.1,60.0,163.0,1067.0,,185.6,60.0%,3.1%,,5.0
Tua Tagovailoa,13122.0,2020-2024,mia,1136.0,1700.0,83.0,96.4,,94.0,,5.0,238.6,66.8%,2.4%,7.0,9.0
Bill Munson,12896.0,1964-1979,5TM,1070.0,1982.0,84.0,71.5,80.0,192.0,1409.0,,120.5,54.0%,4.0%,8.0,8.0
Trevor Lawrence,12870.0,2021-2024,jax,1209.0,1906.0,64.0,85.3,,106.0,743.0,,234.0,63.4%,2.2%,5.0,7.0
Don Majkowski,12700.0,1987-1996,3TM,1056.0,1905.0,66.0,72.9,67.0,180.0,1058.0,8.0,141.1,55.4%,3.5%,10.0,13.0
Jalen Hurts,12694.0,2020-2024,phi,1090.0,1710.0,71.0,90.7,,126.0,745.0,4.0,192.3,63.7%,2.2%,7.0,9.0
Mitchell Trubisky,12541.0,2017-2024,3TM,1202.0,1875.0,72.0,85.5,,129.0,808.0,,171.8,64.1%,2.6%,5.0,8.0
Colin Kaepernick,12271.0,2011-2016,sfo,1011.0,1692.0,72.0,88.9,,171.0,1060.0,,177.8,59.8%,1.8%,7.0,7.0
Tyrod Taylor,12171.0,2011-2024,7TM,1074.0,1738.0,66.0,88.5,,177.0,1006.0,,130.9,61.8%,1.7%,5.0,6.0
Rick Mirer,11969.0,1993-2003,5TM,1088.0,2043.0,50.0,63.5,76.0,199.0,1038.0,,149.6,53.3%,3.7%,8.0,9.0
Tom Flores+,11959.0,1960-1969,3TM,838.0,1715.0,93.0,67.6,92.0,175.0,1576.0,,112.8,48.9%,5.4%,9.0,8.0
Bob Waterfield+,11849.0,1945-1952,ram,814.0,1617.0,97.0,61.6,128.0,,,5.0,130.2,50.3%,7.9%,7.0,6.0
Jay Fiedler,11844.0,1995-2005,5TM,1008.0,1717.0,69.0,77.1,66.0,114.0,734.0,,155.8,58.7%,3.8%,8.0,9.0
Cotton Davidson,11760.0,1954-1968,3TM,770.0,1752.0,73.0,54.9,108.0,110.0,945.0,,105.9,43.9%,6.2%,5.0,
Vince Ferragamo,11336.0,1977-1986,3TM,902.0,1615.0,76.0,70.1,91.0,94.0,770.0,5.0,151.1,55.9%,5.6%,5.0,5.0
Mike Livingston,11295.0,1968-1979,kan,912.0,1751.0,56.0,63.3,83.0,152.0,1392.0,4.0,124.1,52.1%,4.7%,6.0,7.0
Jacoby Brissett,11270.0,2016-2024,5TM,1060.0,1735.0,53.0,84.5,,147.0,925.0,,134.2,61.1%,1.4%,4.0,5.0
Tony Eason,11142.0,1983-1990,2TM,911.0,1564.0,61.0,79.7,51.0,177.0,1350.0,,123.8,58.2%,3.3%,7.0,8.0
Tim Couch,11131.0,1999-2003,cle,1025.0,1714.0,64.0,75.1,67.0,166.0,1119.0,8.0,179.5,59.8%,3.9%,10.0,11.0
Charlie Batch,11085.0,1998-2012,2TM,908.0,1604.0,61.0,77.2,52.0,161.0,890.0,,136.9,56.6%,3.2%,9.0,11.0
Gardner Minshew II,10951.0,2019-2024,4TM,990.0,1563.0,63.0,89.8,,120.0,683.0,,202.8,63.3%,1.9%,7.0,7.0
Brian Hoyer,10899.0,2009-2023,8TM,925.0,1560.0,53.0,82.0,,90.0,652.0,,138.0,59.3%,2.4%,6.0,6.0
Derek Anderson,10878.0,2006-2018,4TM,909.0,1674.0,60.0,70.4,64.0,,,9.0,139.5,54.3%,3.8%,5.0,7.0
Frankie Albert,10795.0,1946-1952,sfo,831.0,1564.0,115.0,73.5,98.0,,1096.0,,119.9,53.1%,6.3%,5.0,7.0
Billy Joe Tolliver,10760.0,1989-1999,5TM,891.0,1707.0,59.0,67.7,64.0,125.0,877.0,,136.2,52.2%,3.7%,5.0,5.0
Eric Hipple,10711.0,1980-1989,det,830.0,1546.0,55.0,68.7,70.0,160.0,1188.0,6.0,105.0,53.7%,4.5%,4.0,
Byron Leftwich,10532.0,2003-2012,4TM,930.0,1605.0,58.0,78.9,,92.0,,,175.5,57.9%,2.6%,7.0,10.0
Mike Phipps,10506.0,1970-1981,2TM,886.0,1799.0,55.0,52.6,108.0,172.0,1514.0,,88.3,49.2%,6.0%,12.0,12.0
George Ratterman,10473.0,1947-1956,3TM,737.0,1396.0,91.0,,96.0,,,,,,,,
Steve Bono,10439.0,1985-1999,7TM,934.0,1701.0,62.0,75.3,,,,,118.6,54.9%,2.5%,6.0,5.0
Tommy Thompson,10385.0,1940-1950,2TM,732.0,1424.0,91.0,,103.0,,,,,,,,6.0
Zeke Bratkowski,10345.0,1954-1971,3TM,762.0,1484.0,65.0,,122.0,94.0,1073.0,8.0,,,,5.0,7.0
Frank Tripucka,10282.0,1949-1963,4TM,879.0,1745.0,69.0,52.2,124.0,,1048.0,,137.1,50.4%,7.1%,8.0,8.0
Dave Brown,10248.0,1992-2001,2TM,892.0,1634.0,44.0,67.9,58.0,181.0,1005.0,6.0,140.4,54.6%,3.5%,,
Jack Trudeau,10243.0,1986-1995,3TM,873.0,1644.0,,63.3,69.0,103.0,717.0,,152.9,53.1%,4.2%,10.0,10.0
Rex Grossman,10232.0,2003-2011,3TM,863.0,1562.0,56.0,71.4,60.0,92.0,698.0,,189.5,55.2%,3.8%,6.0,9.0
Mark Malone,10175.0,1980-1989,3TM,839.0,1648.0,60.0,61.9,81.0,86.0,671.0,,139.4,50.9%,4.9%,4.0,7.0
Blaine Gabbert,9487.0,2011-2023,6TM,882.0,1568.0,51.0,71.7,50.0,141.0,942.0,,137.5,56.3%,3.2%,8.0,8.0
Vince Evans,9485.0,1977-1995,2TM,704.0,1390.0,52.0,,74.0,118.0,904.0,6.0,,,,,5.0
Bobby Thomason,9480.0,1949-1957,3TM,687.0,1346.0,68.0,,90.0,,907.0,,,,,4.0,5.0
Lamar McHan,9449.0,1954-1963,4TM,610.0,1442.0,73.0,,108.0,,893.0,4.0,,,,6.0,6.0
Gary Hogeboom,9436.0,1980-1989,3TM,743.0,1325.0,49.0,,60.0,118.0,890.0,9.0,,,,4.0,6.0
Mike Pagel,9414.0,1982-1993,3TM,756.0,1509.0,49.0,63.3,63.0,115.0,837.0,,71.3,50.1%,4.2%,6.0,8.0
Pat Haden,9296.0,1976-1981,ram,731.0,1363.0,52.0,,60.0,115.0,888.0,,,,,5.0,8.0
Robert Griffin III,9271.0,2012-2020,3TM,799.0,1268.0,,,,131.0,895.0,,,,,4.0,5.0
Bob Berry,9197.0,1965-1975,2TM,661.0,1173.0,64.0,,64.0,193.0,1393.0,4.0,,,,4.0,5.0
Vince Young,8964.0,2006-2011,2TM,755.0,1304.0,46.0,,51.0,83.0,,,,,,7.0,13.0
Mac Jones,8940.0,2021-2024,2TM,869.0,1316.0,46.0,,,85.0,,,,,,,
Kyle Boller,8931.0,2003-2011,3TM,861.0,1519.0,48.0,69.5,54.0,123.0,802.0,5.0,133.3,56.7%,3.6%,4.0,6.0
John Friesz,8699.0,1990-2000,4TM,745.0,1364.0,45.0,,,,,,,,,7.0,7.0
Jim Finks+,8622.0,1949-1955,pit,661.0,1382.0,55.0,,88.0,,,7.0,,,,8.0,9.0
David Woodley,8558.0,1980-1985,2TM,687.0,1300.0,48.0,,63.0,84.0,,6.0,,,,,5.0
Rudy Bukich,8433.0,1953-1968,4TM,626.0,1190.0,61.0,,74.0,88.0,928.0,,,,,7.0,5.0
Randy Johnson,8329.0,1966-1976,4TM,647.0,1286.0,51.0,,90.0,152.0,1302.0,,,,,,
Shaun Hill,8295.0,2005-2016,4TM,757.0,1225.0,49.0,,,84.0,,,,,,4.0,5.0
Pete Beathard,8176.0,1964-1973,4TM,,1282.0,,,84.0,87.0,801.0,,,,,,
James Harris,8136.0,1969-1979,3TM,607.0,1149.0,45.0,,59.0,101.0,874.0,,,,,6.0,9.0
Tommy Maddox,8087.0,1992-2005,4TM,686.0,1200.0,48.0,,54.0,94.0,,,,,,,
Arnie Herber+,8041.0,1930-1945,2TM,,1175.0,81.0,,106.0,,,,,,,,
Colt McCoy,7975.0,2010-2022,5TM,764.0,1220.0,,,,113.0,701.0,,,,,,5.0
Steve Walsh,7875.0,1989-1999,6TM,713.0,1317.0,,,50.0,,,,,,,4.0,9.0
Kent Graham,7801.0,1992-2001,4TM,694.0,1339.0,,,,100.0,679.0,,,,,8.0,9.0
Trevor Siemian,7751.0,2015-2023,4TM,707.0,1208.0,44.0,,,85.0,,,,,,5.0,
Al Dorow,7708.0,1954-1962,4TM,,1207.0,64.0,,93.0,,922.0,,,,,5.0,5.0
Justin Fields,7635.0,2021-2024,2TM,670.0,,45.0,,,148.0,997.0,,,,,,
Craig Erickson,7625.0,1992-1997,3TM,591.0,,,,,82.0,,,,,,,
Matt Moore,7597.0,2007-2019,3TM,645.0,,49.0,,,87.0,,,,,,6.0,8.0
Brock Osweiler,7418.0,2012-2018,3TM,697.0,1165.0,,,,,,,,,,5.0,5.0
Gary Cuozzo,7402.0,1963-1972,4TM,,1182.0,,,55.0,114.0,854.0,,,,,4.0,5.0
Paul Christman,7294.0,1945-1950,2TM,,1140.0,58.0,,76.0,,,,,,,4.0,
Tarvaris Jackson,7263.0,2006-2015,2TM,640.0,,,,,90.0,,,,,,,
Steve Fuller,7156.0,1979-1986,2TM,605.0,,,,,152.0,1048.0,,,,,6.0,8.0
Dick Wood,7153.0,1962-1966,5TM,,1194.0,51.0,,71.0,,,,,,,,
Mike Glennon,,2013-2021,6TM,689.0,1147.0,47.0,,,83.0,,,,,,,
Christian Ponder,,2011-2014,min,632.0,,,,,95.0,,7.0,,,,,
Jim Miller,,1995-2002,2TM,610.0,,,,,,,,,,,5.0,6.0
Taylor Heinicke,,2017-2024,5TM,606.0,,,,,,,,,,,5.0,5.0
Randy Wright,,1984-1988,gnb,602.0,1119.0,,,57.0,85.0,,6.0,,,,,
Steve Spurrier,,1967-1976,2TM,597.0,1151.0,,,60.0,85.0,666.0,5.0,,,,,
Bobby Douglass,,1969-1978,4TM,,1178.0,,,64.0,180.0,1335.0,,,,,,
Bob Avellini,,1975-1984,chi,,1110.0,,,69.0,110.0,961.0,,,,,7.0,10.0
Jack Concannon,,1964-1975,4TM,,1110.0,,,63.0,91.0,752.0,,,,,,
Benny Friedman+,,1927-1934,4TM,,,66.0,,,,,,,,,,
Adrian Burk,,1950-1956,2TM,,,61.0,,89.0,,991.0,,,,,4.0,
Cecil Isbell,,1938-1942,gnb,,,61.0,,52.0,,,,,,,,
Jim Hardy,,1946-1952,3TM,,,54.0,,73.0,,,,,,,,
Brock Purdy,,2022-2024,sfo,,,50.0,,,,,,,,,,
Red Dunn,,1924-1931,3TM,,,48.0,,,,,,,,,,
Frank Filchock,,1938-1950,4TM,,,47.0,,79.0,,,,,,,,
Jacky Lee,,1960-1969,3TM,,,46.0,,57.0,,714.0,5.0,,,,,
Glenn Dobbs,,1946-1949,2TM,,,45.0,,52.0,,,,,,,,
Don Strock,,1974-1988,2TM,,,45.0,,,,,,,,,7.0,8.0
Roy Zimmerman,,1940-1948,4TM,,,44.0,,70.0,,,,,,,,
King Hill,,1958-1969,3TM,,,,,71.0,,,,,,,,
Dennis Shaw,,1970-1975,2TM,,,,,68.0,124.0,1072.0,,,,,6.0,5.0
Parker Hall,,1939-1946,2TM,,,,,67.0,,,,,,,,
Jim Ninowski,,1958-1969,4TM,,,,,67.0,,874.0,,,,,,
Joe Kapp,,1967-1970,2TM,,,,,64.0,109.0,907.0,7.0,,,,4.0,
George Shaw,,1955-1962,4TM,,,,,63.0,,,,,,,,
Mike Taliaferro,,1964-1972,3TM,,,,,63.0,,826.0,,,,,,
Steve Ramsey,,1970-1976,2TM,,,,,58.0,110.0,792.0,,,,,,5.0
Bob Hoernschemeyer,,1946-1955,3TM,,,,,56.0,,,,,,,,
Dave Wilson,,1981-1988,nor,,,,,55.0,99.0,824.0,,,,,,
Scott Brunner,,1980-1985,2TM,,,,,54.0,,,5.0,,,,4.0,7.0
Johnny Lujack,,1948-1951,chi,,,,,54.0,,,,,,,,
Fred Enke,,1948-1954,3TM,,,,,53.0,,,,,,,,
Irv Comp,,1943-1949,gnb,,,,,52.0,,,,,,,,
Ralph Guglielmi,,1955-1963,4TM,,,,,52.0,,918.0,,,,,,
Charlie O'Rourke,,1942-1949,3TM,,,,,51.0,,,,,,,,
David Whitehurst,,1977-1983,gnb,,,,,51.0,99.0,738.0,4.0,,,,,
Marty Domres,,1969-1977,4TM,,,,,50.0,,,,,,,,
Gary Huff,,1973-1978,2TM,,,,,50.0,82.0,812.0,,,,,,
Ace Parker+,,1937-1946,3TM,,,,,50.0,,,,,,,,
Bud Schwenk,,1942-1948,4TM,,,,,50.0,,,,,,,,
Rob Johnson,,1995-2003,5TM,,,,,,140.0,817.0,,,,,4.0,
Hugh Millen,,1987-1995,4TM,,,,,,126.0,830.0,,,,,,5.0
Zach Wilson,,2021-2023,nyj,,,,,,113.0,885.0,,,,,5.0,5.0
Joe Pisarcik,,1977-1984,2TM,,,,,,112.0,845.0,4.0,,,,,
J.P. Losman,,2004-2011,3TM,,,,,,108.0,789.0,,,,,,6.0
Damon Huard,,1998-2008,3TM,,,,,,94.0,,,,,,6.0,8.0
Dick Shiner,,1964-1974,6TM,,,,,,94.0,718.0,,,,,,
Bob Lee,,1969-1980,3TM,,,,,,93.0,805.0,,,,,,5.0
David Archer,,1984-1989,3TM,,,,,,89.0,,,,,,,
David Klingler,,1992-1997,2TM,,,,,,87.0,,,,,,,
Jack Thompson,,1979-1984,2TM,,,,,,85.0,695.0,,,,,,
Steve Tensi,,1965-1970,2TM,,,,,,82.0,672.0,,,,,,
Don Trull,,1964-1969,2TM,,,,,,,694.0,5.0,,,,,
Joe Namath+,,1965-1977,nyj,,,,,,,,28.0,,,,,
Vinny Testaverde,,1987-2007,6TM,,,,,,,,23.0,,,,,
Norm Snead,,1961-1976,4TM,,,,,,,,22.0,,,,,
Kerry Collins,,1995-2011,4TM,,,,,,,,20.0,,,,,
Steve DeBerg,,1978-1998,4TM,,,,,,,,20.0,,,,,
Babe Parilli,,1952-1969,3TM,,,,,,,,20.0,,,,,
Andy Dalton,,2011-2024,4TM,,,,,,,,18.0,,,,,
George Blanda+,,1949-1975,2TM,,,,,,,,17.0,,,,,
Johnny Unitas+,,1956-1973,clt,,,,,,,,17.0,,,,,
Warren Moon+,,1984-2000,3TM,,,,,,,,16.0,,,,,
Len Dawson+,,1957-1975,2TM,,,,,,,,15.0,,,,,
Kurt Warner+,,1998-2009,2TM,,,,,,,,15.0,,,,,
Mark Brunell,,1994-2011,3TM,,,,,,,,14.0,,,,,
Kirk Cousins,,2012-2024,2TM,,,,,,,,14.0,,,,,
Matt Schaub,,2004-2020,3TM,,,,,,,,14.0,,,,,
Blake Bortles,,2014-2019,jax,,,,,,,,13.0,,,,,
Chris Chandler,,1988-2004,2TM,,,,,,,,13.0,,,,,
Jake Delhomme,,1999-2011,2TM,,,,,,,,13.0,,,,,
Trent Dilfer,,1994-2007,3TM,,,,,,,,13.0,,,,,
Ryan Fitzpatrick,,2005-2021,6TM,,,,,,,,13.0,,,,,
Joe Flacco,,2008-2024,3TM,,,,,,,,13.0,,,,,
Matt Hasselbeck,,1999-2015,2TM,,,,,,,,13.0,,,,,
Steve McNair,,1995-2007,oti,,,,,,,,13.0,,,,,
Tobin Rote,,1950-1966,3TM,,,,,,,,13.0,,,,,
Jim Zorn,,1976-1987,sea,,,,,,,,13.0,,,,,
Jeff Blake,,1992-2005,4TM,,,,,,,,12.0,,,,,
Jeff George,,1990-2001,4TM,,,,,,,,12.0,,,,,
Jim Hart,,1966-1984,crd,,,,,,,,12.0,,,,,
Brad Johnson,,1994-2008,3TM,,,,,,,,12.0,,,,,
Tommy Kramer,,1977-1990,min,,,,,,,,12.0,,,,,
Dave Krieg,,1980-1998,2TM,,,,,,,,12.0,,,,,
Frank Tripucka,,1949-1963,2TM,,,,,,,,12.0,,,,,
Jameis Winston,,2015-2024,2TM,,,,,,,,12.0,,,,,
Ed Brown,,1954-1965,2TM,,,,,,,,11.0,,,,,
Boomer Esiason,,1984-1997,2TM,,,,,,,,11.0,,,,,
Jeff Garcia,,1999-2009,4TM,,,,,,,,11.0,,,,,
Archie Manning,,1971-1984,2TM,,,,,,,,11.0,,,,,
Matt Cassel,,2005-2018,5TM,,,,,,,,10.0,,,,,
Gus Frerotte,,1994-2008,4TM,,,,,,,,10.0,,,,,
Chris Miller,,1987-1999,2TM,,,,,,,,10.0,,,,,
Jack Kemp,,1957-1969,2TM,,,,,,,,9.0,,,,,
Earl Morrall,,1956-1976,5TM,,,,,,,,9.0,,,,,
Mark Sanchez,,2009-2018,3TM,,,,,,,,9.0,,,,,
Geno Smith,,2013-2024,2TM,,,,,,,,9.0,,,,,
Wade Wilson,,1981-1998,4TM,,,,,,,,9.0,,,,,
Sam Bradford,,2010-2018,2TM,,,,,,,,8.0,,,,,
Rudy Bukich,,1953-1968,chi,,,,,,,,8.0,,,,,
Jay Fiedler,,1995-2005,mia,,,,,,,,8.0,,,,,
Scott Mitchell,,1991-2001,2TM,,,,,,,,8.0,,,,,
Neil O'Donnell,,1991-2003,2TM,,,,,,,,8.0,,,,,
Milt Plum,,1957-1969,2TM,,,,,,,,8.0,,,,,
Steve Bartkowski,,1975-1986,atl,,,,,,,,7.0,,,,,
Bubby Brister,,1986-2000,3TM,,,,,,,,7.0,,,,,
David Carr,,2002-2012,htx,,,,,,,,7.0,,,,,
Daunte Culpepper,,1999-2009,3TM,,,,,,,,7.0,,,,,
Blaine Gabbert,,2011-2023,2TM,,,,,,,,7.0,,,,,
Jim Harbaugh,,1987-2000,3TM,,,,,,,,7.0,,,,,
Chad Henne,,2008-2022,2TM,,,,,,,,7.0,,,,,
King Hill,,1958-1969,2TM,,,,,,,,7.0,,,,,
Randy Johnson,,1966-1976,3TM,,,,,,,,7.0,,,,,
Bert Jones,,1973-1982,clt,,,,,,,,7.0,,,,,
Billy Kilmer,,1961-1978,2TM,,,,,,,,7.0,,,,,
Bernie Kosar,,1985-1996,cle,,,,,,,,7.0,,,,,
Tommy Maddox,,1992-2005,pit,,,,,,,,7.0,,,,,
Jim McMahon,,1982-1996,3TM,,,,,,,,7.0,,,,,
Donovan McNabb,,1999-2011,2TM,,,,,,,,7.0,,,,,
Kyle Orton,,2005-2014,3TM,,,,,,,,7.0,,,,,
Rodney Peete,,1989-2004,3TM,,,,,,,,7.0,,,,,
Mark Rypien,,1988-2001,2TM,,,,,,,,7.0,,,,,
Kordell Stewart,,1995-2005,2TM,,,,,,,,7.0,,,,,
Steve Walsh,,1989-1999,4TM,,,,,,,,7.0,,,,,
Steve Beuerlein,,1988-2003,3TM,,,,,,,,6.0,,,,,
Ty Detmer,,1993-2003,3TM,,,,,,,,6.0,,,,,
Trent Edwards,,2007-2012,buf,,,,,,,,6.0,,,,,
A.J. Feeley,,2001-2011,2TM,,,,,,,,6.0,,,,,
Joe Ferguson,,1973-1990,buf,,,,,,,,6.0,,,,,
Josh Freeman,,2009-2015,tam,,,,,,,,6.0,,,,,
Rich Gannon,,1987-2004,2TM,,,,,,,,6.0,,,,,
Trent Green,,1997-2008,3TM,,,,,,,,6.0,,,,,
Mac Jones,,2021-2024,nwe,,,,,,,,6.0,,,,,
Case Keenum,,2013-2023,3TM,,,,,,,,6.0,,,,,
Ryan Leaf,,1998-2001,2TM,,,,,,,,6.0,,,,,
Marcus Mariota,,2015-2024,oti,,,,,,,,6.0,,,,,
Joe Montana+,,1979-1994,sfo,,,,,,,,6.0,,,,,
Ken O'Brien,,1984-1993,nyj,,,,,,,,6.0,,,,,
Dan Pastorini,,1971-1983,2TM,,,,,,,,6.0,,,,,
Mike Tomczak,,1985-1999,2TM,,,,,,,,6.0,,,,,
Michael Vick,,2001-2015,2TM,,,,,,,,6.0,,,,,
Pete Beathard,,1964-1973,2TM,,,,,,,,5.0,,,,,
Steve Bono,,1985-1999,2TM,,,,,,,,5.0,,,,,
Aaron Brooks,,2000-2006,nor,,,,,,,,5.0,,,,,
Jason Campbell,,2006-2014,2TM,,,,,,,,5.0,,,,,
Kellen Clemens,,2006-2017,3TM,,,,,,,,5.0,,,,,
Randall Cunningham,,1985-2001,2TM,,,,,,,,5.0,,,,,
Sam Darnold,,2018-2024,2TM,,,,,,,,5.0,,,,,
Cotton Davidson,,1954-1968,2TM,,,,,,,,5.0,,,,,
Al Dorow,,1954-1962,2TM,,,,,,,,5.0,,,,,
Tom Flores+,,1960-1969,rai,,,,,,,,5.0,,,,,
Nick Foles,,2012-2022,3TM,,,,,,,,5.0,,,,,
Rex Grossman,,2003-2011,chi,,,,,,,,5.0,,,,,
Scott Hunter,,1971-1979,2TM,,,,,,,,5.0,,,,,
George Izo,,1960-1966,3TM,,,,,,,,5.0,,,,,
Danny Kanell,,1996-2003,2TM,,,,,,,,5.0,,,,,
Greg Landry,,1968-1984,2TM,,,,,,,,5.0,,,,,
Bobby Layne+,,1948-1962,2TM,,,,,,,,5.0,,,,,
Baker Mayfield,,2018-2024,2TM,,,,,,,,5.0,,,,,
Josh McCown,,2002-2019,3TM,,,,,,,,5.0,,,,,
Mike McMahon,,2001-2005,2TM,,,,,,,,5.0,,,,,
Chris Redman,,2000-2011,2TM,,,,,,,,5.0,,,,,
Josh Rosen,,2018-2021,2TM,,,,,,,,5.0,,,,,
Dick Shiner,,1964-1974,pit,,,,,,,,5.0,,,,,
Trevor Siemian,,2015-2023,3TM,,,,,,,,5.0,,,,,
Steve Tensi,,1965-1970,den,,,,,,,,5.0,,,,,
Billy Joe Tolliver,,1989-1999,3TM,,,,,,,,5.0,,,,,
Chris Weinke,,2001-2007,car,,,,,,,,5.0,,,,,
Tony Adams,,1975-1987,2TM,,,,,,,,4.0,,,,,
Todd Blackledge,,1983-1989,kan,,,,,,,,4.0,,,,,
Todd Bouman,,2001-2010,3TM,,,,,,,,4.0,,,,,
Jacoby Brissett,,2016-2024,2TM,,,,,,,,4.0,,,,,
Adrian Burk,,1950-1956,phi,,,,,,,,4.0,,,,,
Stoney Case,,1995-2000,2TM,,,,,,,,4.0,,,,,
Austin Davis,,2014-2017,ram,,,,,,,,4.0,,,,,
Marty Domres,,1969-1977,clt,,,,,,,,4.0,,,,,
Ken Dorsey,,2004-2008,2TM,,,,,,,,4.0,,,,,
Bobby Douglass,,1969-1978,2TM,,,,,,,,4.0,,,,,
Craig Erickson,,1992-1997,2TM,,,,,,,,4.0,,,,,
Justin Fields,,2021-2024,chi,,,,,,,,4.0,,,,,
Matt Flynn,,2008-2014,2TM,,,,,,,,4.0,,,,,
Bob Gagliano,,1982-1992,2TM,,,,,,,,4.0,,,,,
George Herring,,1960-1961,den,,,,,,,,4.0,,,,,
Kelly Holcomb,,1997-2007,2TM,,,,,,,,4.0,,,,,
Sam Howell,,2022-2024,was,,,,,,,,4.0,,,,,
Ron Jaworski,,1974-1989,phi,,,,,,,,4.0,,,,,
Kevin Kolb,,2007-2012,phi,,,,,,,,4.0,,,,,
Erik Kramer,,1987-1999,2TM,,,,,,,,4.0,,,,,
Pete Liske,,1964-1972,3TM,,,,,,,,4.0,,,,,
Shane Matthews,,1996-2004,chi,,,,,,,,4.0,,,,,
Matt Moore,,2007-2019,2TM,,,,,,,,4.0,,,,,
Nick Mullens,,2018-2024,sfo,,,,,,,,4.0,,,,,
Jim Ninowski,,1958-1969,3TM,,,,,,,,4.0,,,,,
Rick Norton,,1966-1970,mia,,,,,,,,4.0,,,,,
Mike Pagel,,1982-1993,2TM,,,,,,,,4.0,,,,,
Patrick Ramsey,,2002-2008,2TM,,,,,,,,4.0,,,,,
Steve Ramsey,,1970-1976,den,,,,,,,,4.0,,,,,
Frank Reich,,1985-1998,3TM,,,,,,,,4.0,,,,,
M.C. Reynolds,,1958-1962,buf,,,,,,,,4.0,,,,,
Frank Ryan,,1958-1970,cle,,,,,,,,4.0,,,,,
Turk Schonert,,1981-1989,cin,,,,,,,,4.0,,,,,
Jay Schroeder,,1985-1994,2TM,,,,,,,,4.0,,,,,
Jack Trudeau,,1986-1995,clt,,,,,,,,4.0,,,,,
Billy Volek,,2001-2011,oti,,,,,,,,4.0,,,,,
Tommy Wade,,1964-1965,pit,,,,,,,,4.0,,,,,
Danny Wuerffel,,1997-2002,2TM,,,,,,,,4.0,,,,,
Steve Young+,,1985-1999,sfo,,,,,,,,4.0,,,,,
Bruce Gradkowski,,2006-2014,5TM,,,,,,,,,,,,6.0,7.0
Scott Hunter,,1971-1979,4TM,,,,,,,,,,,,6.0,9.0
Kenny Pickett,,2022-2023,pit,,,,,,,,,,,,6.0,7.0
John Skelton,,2010-2012,crd,,,,,,,,,,,,6.0,7.0
Tim Tebow,,2010-2012,2TM,,,,,,,,,,,,6.0,6.0
Quincy Carter,,2001-2004,2TM,,,,,,,,,,,,5.0,7.0
Ty Detmer,,1993-2003,5TM,,,,,,,,,,,,5.0,6.0
Cody Carlson,,1988-1994,oti,,,,,,,,,,,,4.0,5.0
Trent Edwards,,2007-2012,3TM,,,,,,,,,,,,4.0,5.0
Matt Flynn,,2008-2014,3TM,,,,,,,,,,,,4.0,
Johnny Green,,1960-1963,2TM,,,,,,,,,,,,4.0,5.0
Jeff Kemp,,1981-1991,4TM,,,,,,,,,,,,4.0,5.0
Shaun King,,1999-2004,2TM,,,,,,,,,,,,4.0,5.0
Kevin Kolb,,2007-2012,2TM,,,,,,,,,,,,4.0,
Jeff Rutledge,,1979-1992,3TM,,,,,,,,,,,,4.0,5.0
Drew Stanton,,2008-2017,2TM,,,,,,,,,,,,4.0,
Cliff Stoudt,,1980-1989,3TM,,,,,,,,,,,,4.0,
Todd Collins,,1995-2010,4TM,,,,,,,,,,,,,5.0
Steve Dils,,1979-1988,3TM,,,,,,,,,,,,,5.0
A.J. Feeley,,2001-2011,3TM,,,,,,,,,,,,,5.0
Paul McDonald,,1980-1986,2TM,,,,,,,,,,,,,5.0
Desmond Ridder,,2022-2023,atl,,,,,,,,,,,,,5.0
C.J. Stroud,,2023-2024,htx,,,,,,,,,,,,,5.0
